tweet,sarcastic,rephrase,dialect
أسوء أكل بعد أكل مال اليتيم,1,مداق سيئ,magreb
فرق كبير ان البنت تحط علي وشها بودرة وانها تحط وشها في البودرة,1,ايه كمية البودرة دي اللي علي وشك,nile
المصريين في الفهلوة مفيش زيهم,1,أن المصريين يحبوا يبينوا نفسهم عارفين كل حاجة,nile
عادي يعني بكره هنسمع انو خرج بكفاله 2 مليون جنيه ولا حاجه,1,مفيش عدالة المهم يدفع فلوس,nile
والله لو ضميتوا، اللعيبه، كلها مافي فايدة برضو,1,النادى فاشل ولا أمل منه,nile
لقد مرت علينا كل الظروف الا الظرف اللي فيه فلوس,1,بيحصلنا حاجات كتير محتاجة فلوس الا اننا ناخد فلوس,nile
جت الحزينة تفرح ملقتلهاش مطرح,1,الحزين سوف يظل حزينا,nile
واش داك للواد يا الزيتونة,1,واش داني نغلط,magreb
مش دايما السكوت علامة الرضا ممكن اكون ساكت بس بشتم فى سرى,1,مش معنى انى ساكت يبقى أنا راضى وموافق بكل كلامك,nile
الفوخ و الزوخ و العشاء قرنينة,1,التبجح و العشاء اعشاب,magreb
ده فاكر نفسو يونس شلبى,1,ده غبى فاكر نفسو بيقول افهات زى يونس شلبى,nile
هتقولهملى نيللى هقولهم ليك شيريهان,1,امش بدل ما اعورك,nile
هو انا الوحيده إللى مبهتمش بالتليفونات ولا عشان انا شحاته مبشغلش بالى,1,لا اهتم بالتليفونات ولا يشغل بالي هل لأني لا املك المال؟,nile
ديك المشية و الزين تقول بيونة,1,جمال تاع بيونة,magreb
بلاش شوقي غريب والنبي مش ناقصه مرض والله,1,شوقي غريب لا يصلح,nile
اقوى فريق فى الدورى بيقدم ضحك هو الاسماعيلى,1,فريق الإسماعيلى فاشل فى الدورى,nile
هقتله واديك رنه,1,مش طايقه هخلص منه وأجيلك,nile
الف مبروك الانتصار لفريقنا، مدرب الفريق الثاني ماخذ وضعية سوي نفسك ميت !,1,مدرب الفريق المنافس حزين و لا يريد ان يظهر ذلك للعلن.,gulf
زي اللي رقصت على السلم، لا للي فوق شافها ولا اللي تحت شافها.,1,شخص اهبل,nile
تعيش عمرك كله تشتغل وف الاخر بتاخد حاجه عنب,1,مفيش فلوس ع اد التعب,nile
ديه فاكره نفسها هيفا وهبي,1,فاكره نفسها جميلة وهى لأ,nile
اه منا لو كنت بنت كنت رديت عليا,1,أنت بترد علي البنات بس,nile
لما دول عندهم عنوسة أمال المصريات هتقول إيه,1,كيف يكونوا بهذا الجمال وعانسات,nile
لو مش عاجبك طبعى روح اطبع عند غيرى,1,لو مش عجبك اسلوب وطريقتى فى الكلام امشى وروح لغيرى,nile
شركة فيسبوك اكثر شركة بهتموا بالخصوصية,1,شركة فيسبوك لا تحترم الخصوصية,levant
فشلت في التمثيل ومقضياها فساتين ومهرجانات يارب ربع حظها,1,لا تصلح للتمثيل ومتصدرة بالمهرجانات,nile
اللي ياكل ببلاش ما يشبعش,1,اللي ياكل ببلاش لايكفيه شئ,nile
انت داير بحال الريشة وحاس براسك بحال باتيستا,1,انت ضعيف,magreb
شنجن تدخلنى مدينتى ولا ليها فيزا لوحدها؟,1,ان إعلان مدينتي ان الناس فيها مختلفة و كل حاجة مختلفة لدرجة انها ممكن تحتاج فيزا,nile
فيفي بتعمل نفسها هابله عشان تتجنب قضيه تحريض على الفسق,1,فيفي تتصنع التخلف علشان تتهرب من قضية التحريض على الفسق,nile
وحيات امك خف تعوم عندى الناس كلها سواسيه,1,اى تكون مقدر للناس الى حواليك,nile
الرد المتأخر زي الأكل البارد يسد الجوع بس ماله طعم,1,الردود المتاخرة لا جدوى منها,levant
ديل الكلب عمره ماينعدل لو علقوا فيه قالب,1,اى ان الطبع غلاب,nile
بص انت لازم تفهم ان ان كان حبيبك عسل متلحسهوش كله,1,مش لازم تبقى طماع,nile
ياخبرالنهارده بفلوس بكره ينزل عليه أوكازيون,1,متستعجلش تعرف اخبار الناس بكرة يجيلك لحد عندك من غير مجهود,nile
هى دى الاخبار الحلوه قبل المدارس ندفع المصاريف وبعدين بخ,1,الحكومة تستغل كورونا لاستلاب اموال الناس,nile
لمآ ترمي شيء من بعيد ويدخل بآلزبآلة تقعد تنآظر آللي جنبك النظره الاحترافيه,1,لمآ ترمي شيء من بعيد ويدخل بآلزبآلة تقعد تنآظر آللي جنبك وكانك لاعب كرة سلة محترف,nile
الادويه اليومين دول بتزود المرض,1,الادويه مش نافعه,nile
العالم: نبذل ما بوسعنا لإيجاد حل لأزمة الفيروس المصريين: الريأكت مش شغال عندي,1,المصريين مهتمين بالفيس بوك اكتر من فيرس كورونا,nile
مكسح طلع يتفسح قال بفلوسه,1,الانسان حر مالم يضر,nile
عاش يتمنى في عنبة مات جابولو عنقود ههههههههههههههههههههههههههههههههههه,1,عاش مغيبا مغمورا و حين مات كرموه,magreb
كل الى فات حماده وكل الى جاى حماده تانى خالص,1,الوضع الجديد مختلف عن الوضع القديم,nile
هاروح اتحزم وأجيلك🙂أحلى من الشرف مفيش,1,هرقص بس الرقص عيب,nile
فاكر نفسك شيكابالا,1,انت مابتعرفش تلعب,nile
ولد الفار حفار,1,طالع لابوك,magreb
الزمالك دا اصيل الدنيا بتتغير حواليه وهو ثابت مكانه,1,فريق مبيكسبش,nile
انت واخد في نفسك مقلب,1,شايف نفسو جامد وهو غير كدة بس مش واخد بالو,nile
جرى ايه بروح امك,1,جرى ايه ياض,nile
لما تدخل اداب وتسقط وتحول حقوق وتسقط فتحس ان جمال عبد الناصر مبسوط منك اوى,1,فشلت فى كل كلية بتدخلها,nile
السياسيون مثل حفاضات الأطفال يجب تغييرهم باستمرار ولنفس الأسباب,1,السياسيون لا يجب أن يستمرون ف السلطة,msa
مصر هى البلد الاولى فى العالم فى تصنيف التعليم ولا عزاء للحاقدين,1,مصر خارج التصنيف العالم للتعليم,nile
عارف ليه غلو تذاكر المترو؟ علشان الشمال كترو,1,غلو اسعار تذاكر المترو,nile
هتعرفو تعالجو مو صلاح ولا ناخد ابننا نعالجه عندنا في القصر العيني,1,القصر العينى مش هيعرف يعالج محمد صلاح,nile
جاتكم قرف بقا قرفتونا بالتعليم بتاعكم بجد,1,تعليم فاشل,nile
ابن الحكومة اذا صادقنه اكلك واذا عاديته هلكك,1,الللى معاه واسطة صعب تصاحبه علشان دايما هيأذيك,nile
حرام اخدت اللقاح وجاتلى كرونا بسببه,1,لقاح فاسد,nile
المحن اشتغل اهوة وبعد كده هيجرو ورا بعض بالشبشب,1,البدايات تختلف عن النهايات البداية غزل والنهاية طلاق,nile
اذا كان اللي بيفهمك سابق اللي بيحبك بخطوه.. و اللي بيطمنك سابقهم بمشاوير : احسب سرعة وصول اللى هيخزوقك,1,اللي بيخزوقك هو اكتر واحد موجود حواليك واللي بيطمنك وبيفهمك وبيحبك متاخرين عن اللي بيخزوقك,nile
وخلى الساعه الرولايكس كمان تضرب منبه يا عم الخطيب,1,تسولت الساعة من تركي الشيخ يا خطيب,nile
شد العمة شد تحت العمة قرد,1,افعال الشيخ والاعيبه تشبه افعال القرود,nile
علي وضعك يازميلي,1,انت كفئ لهذا العمل,nile
اللى معاه قرش محيره يجيب نجمه ويعمل احتفال بخسارة الدورى,1,وما فائدة كل ما تفعله وانت قد خسرت الدوري,nile
طيب كويس اجي بقا لأني عفنت في مصر,1,اسافر الامارات عشان قعدت كتير في مصر,nile
النادي دا أصيل جدا طول عمره ف مكانه,1,النادي دا فاشل ومش بيتقدم,nile
شيكابالا لاعب منفوخ على الفاضي زي البالونة المنفوخة هو,1,لا عب متكبر بدون وجه حق,nile
شابوه يوسف الشريف بجد,1,برافو يوسف الشريف,nile
بيوزعوا سيجاره فرط مع بلح و علبه عصير و مولتو علشان يكون كسب ثواب الافطار كامل,1,يفسد الصيام بالسجائر,nile
انت عملت من البحر طحينة,1,بيعظم و يكبر الحاجات اللى بيعملها,nile
ال سابته الهانم تاخده مساحة السلالم,1,الست الكويسة لما تسيب راجل يبقى تاخده اى ست وخلاص,nile
رياض محرز لبس لتايلور الحجاب الله على أخلاقك,1,رياض محرز مسلم وزجته لا تستر نفسها فى لبسها ,magreb
البنت دى جامده الله عليكى قمر 14 يابنتى,1,بنت جميلة فى القاعة,nile
محسسني انك اخترعت الذره يعني,1,انت معملتش حاجة مهمة,nile
كريمات كريمات كريمات وداعا للتجعيد,1,لا يوجد كريم نافع لإزالة التجاعيد,nile
كنا فاكرينه موسى طلع فرعون,1,شخص شرير و عامل طيب,nile
رمضان بيه بيحب يقف على الكوره عندكو حد عيوطه والا نجيب حازم امام,1,حازم إمام لاعب ضعيف,nile
لو باض الديك بدل الفرخة هعديك,1,مستحيل هعملك اللى انت عاوزه مهما حصل,nile
استحي ده حتي عبد الناصر ما سواها,1,أنت فشلت فشل محدش فشله قبل كده,nile
الناس خايفة من كورونا والاذكيا مش عايزين ياخدوا اللقاح,1,الناس اغبيا عشان لو خدوا اللقاح مش هيجيلهم كورونا,nile
لو انت لمستها هحطك تحتها,1,كلام تكاتك يعني لو قربت منها هدوسك بيها,nile
بقينا فى زمن النسكافيه هو الحاجه الوحيده اللى بوش واحد,1,يعنى احنا فى زمن البشر فيه بكذا وش,nile
انت مفيش منك اتنين ولا يمكن يكون,1,مفيش غيرك بيتصرف التصرفات الغريبة دى ,nile
مين البنات دول ..من انهى مجرة,1,بنات جميلة جدا,nile
استـريحـي يـا أثيوبيـا ، استـريجي يـا الصـومـال ، جووو الخليج يـذوب النعــال xD,1,حر الخليج أشد من أثيوبيا والصومال,msa
وزير الأوقاف على ما أزمة (( كورونا )) تخلص هيكون طرد كل الأئمة ... محتاج خازووق خشبي ..,1,وزير الاوقاف يفصل عدد كبير من الائمه في مصر,nile
والله يا اخويا الواحد عنده زهايمر من الان,1,أنا بنسي كل حاجة فى السن الصغير ده,nile
الطالب الفاشل هو الطالب الذي يمكن أن يكون الأول على فصله، لولا وجود الآخرين,1,الطالب الفاشل مش هيبقى فاشل لو كان وحده فى الفصل,nile
اراء الناس دي كلها جايبينها من الكابنيه,1,اراء الناس دي كلها كلام فارغ,nile
حوش يا ولاد هموت من كتر الضحك,1,دمك مش خفيف,nile
من يبحث عن امرأة طيبة وذكية وجميلة يبحث عن ثلاث نساء,1,لن يتوفر الطيبة والجمال والذكاء فى إمرأة واحدة لابد نمن ثلاث نساء,magreb
انت عارف يا ريس الشخص ده جزمته بعشرة من عينتك,1,الشخص ده افضل منك بكثير,nile
برة وجوة فرشتلك وانت مايل ايه يعدلك.,1,عملت كل شئ وانت ما فى شئ عاجبك ولا تريده,nile
الغباء هو المرض الوحيد الذي لا يتعب المريض وإنما يجلط كل المحيطين به,1,الغبي لا يري مشكله في نفسه,gulf
اخوها ياسمين دا عامل زي الست اللتاته ال محدش طلب منها تتكلم ولا تقول رأيها,1,ياريت اخو ياسمين عبد العزيز يبطل يتكلم عن اخته,nile
الاستاذه نيللي اللي فورمتها مظبوطه بالمللي,1,نيللي كريم جسدها الرائع ومبهر,nile
السؤال مين بيدور اللعبة,1,كثير مقتنعين ان كورونا ده تمثيلية,msa
جوزيه مورينيو من يريد المتعه فاليذهب الى السيرك نحن هنا نلعب كرة قدم,1,ليس بالضروره ان تجد المتعه فى كل مباريات كرة القدم,msa
المديره دى صعبة خالص طبلها علشان تعدى يومك,1,نافق المديرة علشان أمورك تبقى كويسة فى الشغل,nile
مزاجي عال العالي، احسن من هيك فش,1,مزاجي كثير سيء,levant
الاهم من انك تواصل السعى أن يكون ليك حد تقيل شغال فى حتمية الوصول,1,يعنى من الاخر لازم يكون عندك واسطه او حد يسندك عشان توصل لاخر القمة,nile
الرجاله ماتت في الحرب,1,مفيش راجل بيدافع عن حد دلوقتى,nile
المتعوس متعوس ولو علقوا علي باب بيته فانوس,1,الشخص النحس نحس ,nile
انت و الرياضيات زوج خطوط ما يتلاقاوش,1,انت غبي ما تفهمش الرياضيات,magreb
على قد ايدينا و ماحدش ليه خير علينا,1,ماشيين بستر ربنا علي اد حالنا ومش مستنيين مساعدة من حد,nile
أين الفتاة التي أقسمت لك بالبقاء، أنها أونلاين تقسم لغيري,1,بنت خاينة اقسمت متبقاش الا معايا وهي بتواعد حد تاني اونلاين,nile
سبحان الله ميسى فى الملعب عامل زى القطط بسبع ارواح,1,قوى بدنيا و مش بيتعب,nile
صاروخ الفضاء المصري اطلق عام 1970 ولم يعد حتى الان,1,مفيش صواريخ اطلقت كله كدب,nile
حاط روحو حاجة كبيرة,1,فاكر نفسه حد مهم,magreb
لو لقيتنى عملتلك كومنت على بوست او صوره اعرف انها عجبتنى لدرجه انى اتحديت كسلى وحركت صباعى عشان خاطرك,1,انى كسلانه بدرجه كبيره,nile
بيقولك موجة كورونا الجاية بقت معوية يعني هنلبس بدل الكمامة بامبرز,1,موجة الكرونا الجاية هتبقي معوية وتسبب إسهال,nile
بس عامل فيها أسد علينا,1,شديد فقط علينا,nile
يا بن عمي روح نقص شوية راك تبان كي الدب,1,نقص وزنك,magreb
قسما بالله الجزائر تعمل مننا بطاطس محمره,1,الجزائر هتهزمنا بكل سهولة في كرة القدم,nile
رايح يساعد الناس كلها كان ساعد نفسة اصل باب النجار مخلع,1,هو محتاج يساعد نفسه قبل مساعدة الناس,nile
الشاطرة ديما تغزل برجل الحمار,1,الذكية  هى من تتصرف وتنجح بأقل الامكانيات المتاحة,nile
يعطي الحلق للي بلا ودان,1,مش يستاهل حاجة قيمة,nile
داك الزين تقول مهند,1,شكله جميل مثل الممثل مهند التركي,magreb
نهارنا ابيض ان شاء الله,1,في مشكله كبيره وهو قلقان جامد من اول اليوم,nile
عاش يا وحش فاضلك 50 سنة وتبقى ارنولد شوازنجر,1,انت ياض مفكش حاجة وعمرك ما هتربي عضلات ,nile
الواد الفتك فاكرني عبيط و هصدقه,1,ده غبي لكن فاكر نفسه ناصح وفتك واللي قدامه صيدقه,nile
وانت ما شاء الله أذكى أخواتك,1,فاكر نفسك أذكى واحد فينا وأنت مبتفهمش,nile
اللي متعرفش ترقص تقول الارض عوجة,1,الناس اللى بتتحجج بالظروف ومش بتحاول حتى انها تجتهد او تسعى فالحياة,nile
دا انت بلسم يسلام,1,انت تحاول ان تبدو جيدا لكنك غير ذلك,nile
فاكره انه مفيش منها اتنين وبتعرف المستخبى,1,مغرورة وانانيه وبتعرف كل حاجه,nile
برايطوايط هو لي يستحق الكرة الذهبية هذا العام,1,برايتوايت لاعب بمستوى محدود جدا,magreb
القرد فى عين امه غزال,1,صاحب الشئ شايفه أحسن حاجة,nile
لو كان فيه الخير مكنش رماه للطير,1,ان الشخص مش كويس علشان كده محدش عايزه,nile
مبين عليك بتفهم كثير.,1,فهمك قليل ومحدود.,levant
وهوا ماله اتحاد الكرة البقر اللي بيوزع من مال امه,1,اتحاد الكرة فاسد,nile
يلي مالو بنات ما حدا بيعرف امتى مات,1,الرجل الذى ينجب اولاد فقط ولا ينجب بنات عندما يموت لا يتم الصراخ والعويل علية فماحدش بيعرف انه مات امتى,levant
تحت المكباج الخادع يوجد قمرا ساطع او نوع من انواع الضفادع,1,المكياج يخفي القباحه,nile
جا اشمو و هو ياكلو 😄,1,بغا يعاون صدق مخسرها,magreb
مورينيو: كرة القدم للرجال على لاعبي أرسنال التوقف عن البكاء,1,لاعبي ارسنال لا يلعبون بشكل جيد,nile
عم ترامب دا المفروض يبقي بتاع عصير,1,ترامب لونه برتقالي,nile
اصبر على جار السوء يا يرحل يا تجيله داهية تأخذه.,1,اصبر على اذية الجار حتى رحيله او غير ذلك,nile
اعزمني علي أكل ، فربما لست بخير يا اخي,1,أعزمنى علشان الأكل هيخلينى مبسوط,nile
خبير في الأنترنيت جابت مرتو طفل سمّاه دوت كوم  ههههههههههههههههههههههههههههههههههههه,1,لكثرة تأثره بالمجال الافتراضي سمى ابنه اسما مرتبطا بمجال تخصصه,msa
الماظ ايه يا ولاد التيت هو الشباب عارف يجب دهب لما يجيب الماظ,1,الشباب مش عارف يجيب شبكة ذهب علشان يتجوز أكيد مش هيقدر يحيب ألماظ,nile
مش كل مرة، تسلم الجرة,1,مش كل مرة، تسلم الامور,nile
معروفة انه اللي بيكبر فشخته دايما بيوقع,1,خليك على قد حالك وبلاش مظاهر,nile
وانت مالك اهلك يسطا بالموضوع,1,متتدخلش فى اللى ميخصكش,nile
لو حضرتك كنت في مهمه تدمير البلد تعليميا وتدمير جيل ..!! احب ابشرك لقد نجحت مهمتك,1,الوزير نجح نجاح ساحق في تدمير المنظومة التعليمية,nile
حكيم زياش ينقد عصفور من التحليق في السماء,1,المبالغة فى مدح حكيم زياش والصاق أمور خيالية به,msa
اللى ياكل لوحده يزور,1,لو مشاركتش اللى حواليك في الخيرالذى معك فستصاب بالهم,nile
واخد بيقول الحب عبترة عن حرفين حاء حمار بيكدب وباء بقرة بتصدق,1,الحب كذبة كبيرة والناس بتصدقها والبنات خاصة,nile
الخوازيق فى حياتى زى المناديل اسحب واحد يطلع التانى,1,كل شويه منغصات لحياتى مش بعرف اخد نفسى,nile
مامنه للرجال يا مامنه للميه في الغربال,1,التي تثق برجل كانها وثقت بالمياه داخل منخل,nile
الحياة بدون أخت متل الشارع بلا زفت,1,الدنيا بدون اخوات بنات لا يمكن العيش فيها مثل الشارع غير الممهد بالزفت,levant
القرد بعين أمه غزال,1,"الشخص غير جميل أو قبيح"" بنظر المتحدث""",nile
شوية سرسجية مع بعض احنا مالنا نشوف خبر زى دا !!,1,شوية فشلة وتافهين ليه أخبارهم متصدرة الأخبار,nile
هوه حد هيعد وراكو الورق ورقنا والدفاتر دفترنا الناس خلاص فهمت,1,ارقام لا مصداقية لها وبيانات زائفة,nile
دى مفكره نفسها مارلين مرنوه 😃,1,مفكره نفسها جميله ومثيره وهى غير كده,nile
لست عاجزا عن قصف جبهتك لكن الصاروخ غالي والهدف رخيص,1,مش ضعيف ولا عاجز عن اني اخد حقي منك لكن انا كلامي غالي وانت اقل من اني اعملك قيمة,nile
لو الجواز مش جريمه ماكنوش طلبوا اتنين شهود,1,الجواز أكبر جريمه علشان كده بيطلبو شهود عليها,nile
مكفاية موتمرات بقي انظرو لناس شوية ولا انتو بتحبو الهيصة عل الفاضي,1,كفاية مؤتمرات بقي وخلونا نبص لمشاكلنا نحلها بدل الشو الإعلامى على الفاضي,nile
عدد الحالات 3890 -- الكلية : خلاص بقي ينزلوا الكلية بعد العيد يمتحنوا قبل ما يموتوا,1,ان الامتحانات لازم تتعمل,nile
الحمدلله باقي لي كل المواد واخلص المذاكره,1,لم يتم تحصيل ولا مادة,gulf
الوضع لوز,1,الوضع ممتاز,levant
قالو تعرفشي العلم قالو نزيد فيه,1,هذا متعالم,magreb
الوضع دندرة,1,الوضع كثير ممتاز,levant
الطول طول نخله والعقل عقل سلخه,1,انه كبير فى العمر والجسم وصغير فى العقل,nile
أنت مسوي نفسك فيها عنتر يا حلو,1,مسوي نفسك بطل مثل عنتر، تقفز على كل شيء,gulf
لي يشجع أرسنال ما عندوش ضغط قبل الماتش هههه,1,لي يشجع أرسنال عارف بلي خاسر خاسر يتفرج بلا ضغط,magreb
لو بابا طبال ماما اكيد بترقص ياهانم,1,طبع الاسره يغلب,nile
طفى النور يابهيه كل العسكر حرميه,1,ان العسكر ياخذون خير البلدان,nile
إذا أردت أن تعرف عيوبك، فقل عيبا واحدا في زوجتك وسوف تخبرك بكل عيوبك وعيوب اهلك وأصحابك وجيرانك وبعض عيوب سكان الدول المجاورة,1,عايز تتفضح طلع عيب فمراتك وهي تجيب سي ديهاتك انت واهلك وكل اللي تعرفهم,nile
قالو يا قاعدين يكفيكوا شر الجايين,1,يكفينا الشرور الغير معروفه,nile
عرفهم على بعض واعملوا مشروع وانت وحظك وشطارتك يايولعوا فيك ياتعيش فى جنة,1,عرف زوجاتك على بعض وانت وحظك في اللي هيحصل بعد كدة,nile
انت اصلا من بنها يبني شوف انت رايح فين,1,انت مش من هنا,nile
انا استحق جائزة الاوسكار في المذاكرة دا انا بذاكر ساعة في الشهر,1,انا مش بذاكر خالص,nile
انا كل ما اسمع الاغنيه الجديدة لامال ماهر ببقي عايز اسيب البيت والم هدومي ف كيسه بلاستيك,1,الاغنية بتشجع علي الاستقلالية ليا وللبنات,nile
رونالدو قالهم السلام عليكم العرب قالو رونالدو دخل للاسلام 😆😂,1,رونالدو قال كلمة بالعربية العرب ردوه مسلم,magreb
حنان الرجل يفوق حنان الأم 10 أضعاف عند محاولته التعرف على فتاة جديدة,1,الراجل بيمثل أنه حنون من أجل التعرف على بنت جديدة,nile
لاثة مجانين يحب يهربوا من مستشفى المجانين، قالو نعمل خطه، لو السور طويل نقصره شويه ونهرب، ولو السور قصير نهرب على طول، راحوا ملقوش سور، قالوا يلا نرجع الخطه فشلت,1,منتهى الغباء خلى  المجانين يفكروا  أن عدم وجود السور يعني فشل الخطة,magreb
اللي يقولها جوزها يا عورة الناس يلعبو بيها الكورة,1,الي يتريق على مراته الناس هيتريقو عليها اكتر منه,nile
الحكومة دى مجاش زيها فى نزاهتها وإصلاحها,1,الحكومة فاسدة وفاشلة,nile
شفتك وأنت ماشي قلبي اتحيّر قلت: ده غزال ولا عجل صغير,1,الشخص لي يمشي و يتمايل يبقى يشبه للحيوانات,nile
دى مفكره حاله ياما هنا ياما هناك🤣,1,مفكره نفسها حاجه وهى تافهه والا تسوى,nile
ان شاء الله اللاعب شيكابالا هيلبسنا في اتخن حيط في النادي,1,اللاعب شيكابالا سوف يوقعنا في ورطة كبيرة,nile
من كان بيته من زجاج، لا يقذف الناس بالحجارة,1,هو كله عيوب,nile
المشكله في مصر في اهل العروسه تحس انك داخل لي تاجر جمله مش اهل واحده الا من رحم ربي,1,أهل العروسة فى مصر بيبالغوا فى المهور الا قليل منهم ,nile
مرار طافح هما منوينش يفوزو عليهم حتا واحد صفر تخليص حق,1,ياريت يفوزوا فوز واحد ويفرحونا ,nile
أنا لو شغلت اللعبة دي علي جهازي هيفرقع 😂,1,جهازي ميقدرش يشغل اللعبة دي,nile
أنا مهما حدث لا انظر إلى الخلف ثقة ام غرور لا غضروف,1,أنا ضهرى واجعنى مش قادر أبص للوراء فى الماضى ,nile
علاقة ترامب بالسياسه زى علاقتى باللغه الصينيه,1,ترامب فاشل على المستوى السياسي,nile
يبقي كده نادي الضحك مش نادى رياضى,1,نادى لا يتعامل باحترافية,nile
المنتخب الليبي: متضامن مع البدري ويحتج عل اتحاد الكره المصري (والنبي سيبوووووه),1,المنتخب الليبي يتمني استمرار البدري في تدريب المنتخب لعلمه بفشله,nile
رونالدو يصطاد العصافير في أولد ترافورد,1,رونالدو يسدد في السماء,msa
با واد كفايه هتتكفى على وشك وتتعور,1,اخلص وانزل يلا هتنزل على وشك وتتصاب,nile
دنا كنت بحب واحدة لما كانت تقعد كانت الكنبة بترجع,1,دنا كنت بحب واحدة شكلها وحش جدا,nile
مبقاش فيه اخبار غير فيفي عبده الام المثالية خريجة الازهر,1,ليه الأخبار بس عن فيفى عبده الرقاصة ,nile
ده فاكر نفسه محور الكون,1,ده شخص غير مهم ولا أحد يبالي به,nile
دينا الشربيني بعد 4 أشهر غيبوبة وتلاقي حواجبها متحددة,1,مكياج دينا الشربينى مش منطقى مع دورها فى المسلسل,nile
الفيس تيس وتويتر عنزة,1,الفيس اصبح ملل مثل تويتر,nile
هي اجى صاحبك,1,هي اجى الي بتكرهه,levant
حوش الحب هيقطع بعضه,1,شخصان لا يحبان بعضهما,nile
عندها 9 عيال وعايشة حياتها وبتتصور وهى حاطة رجل على رجل وأنتى معاكى عيل واحد ومحتاسة بيه 😂😂,1,هى شاظرة وعارفة تدير أمورها وأنت خايبة ومش عارفة تتصرفى,nile
كبير وجايح أكبر شوي شلاغمك يكتفو بعير,1,"من شدة كبر شاربه يستطيع ان يعمل به خيط لربط البعير
معناه انو كبير فالعمر  لكنه لا يزال يهرج",magreb
يعيش البجح على قفا المكسوف,1,البجح بياخد حقه وحق اللى بتكسف يطلب حقه,nile
و يا ترى ده دكتور و لا عيان,1,الدكتور شغله مبهدل زى العيان,nile
طلب دعوة من أمو فقالت ربي يبعد عليك بنات الحرام و حين ذهب إلى الجامعة لم تحتك به أي فتاة,1,كثرة بنات الحرام في الجامعة جعلته لا يتعرف على أي فتاة,magreb
الرجال يمكنهم مقاومة  نظرية صائبة ويستسلمون لنظرة ثاقبة,1,ان الرجال يفضلوا يعاندوا وييجوا عند الستات ويلينوا,msa
الحمد لله انا الموضوع كان قالقنى خالص كده هعرف أنام مطمن عليكم,1,ان موضوع النقاش والكلام به وشغل الناس به هو شيء تافه جداً,nile
محمد صلاح قى حفل التتويج مبيسلمش على الممثلات الله على اخلاقك يا فخر العرب,1,ان محمد صلاح ميسلمش على ممثلات عشان حرام,nile
ان عادت تعود حط فى عينها عود,1,ان التجربه السيئه لن تتكرر,nile
رمضان السنة ولا اسهل منه كورونا وحر,1,رمضان جدا صعب عشان الحر و كورونا,levant
بعد علاقة غير شرعية دامة عشرين سنة أمريكا تطلق أفغانستان بثلاث,1,أستقلال أفغانستان,msa
يا مستنى السمنة من دهن النملة عمرك ما حتقلى,1,ان انتظرت من الشخص البخيل شئ فأنك ستنتظر للابد,nile
الشحات له نص البلد يا بلد,1,الشحات بياخد من كل الناس يعني معاه اكتر منهم,nile
وحده تقول :  الرجوله افعال اما الشنب حتى صديقاتي عندهم,1,وحده تقول :  الرجوله افعال اما الشنب حتى النساء يمكن ان يكون لهم شنب,nile
من طلب العلا شافلة واسطه أما سهر الليالي ده فيلم تشوفه مع امك,1,يعنى مافيش حاجه هتمشى من غير الواسطه,nile
هي الدنيا مالها بردت كده ليه,1,كسفت نفسي لما اتصرفت بشكل وحش,nile
هو البرلمان اشتغل في تنظيم الاسره ماشاء الله,1,البرلمان التافه,nile
كان من الرائع اكتشاف امريكا ولكن كان اروع لو لم يتم استكشافها,1,امريكا تشكل خطرا كبيرا على جميع الشعوب بما فيهم الوطن العربي,msa
لي خاطيك اعييك,1,حاجة خاطية ليك اخطيها,magreb
الواد داخل الإمتحان أحمد زويل خرج من الإمتحان أحمد بطة,1,داخل الامتحان واثق من نفسه وماحلش حاجة وخارج يعيط,nile
خاف من سرقة منزله فباع كل أثاثه هههههههههههههههههههههههههههههههههههههه,1,لم يفكر في حماية منزله بل اعتمد حلا غريبا و غير مقبول,msa
زيت الزيتون يشفي كل شيء حسب جداتنا,1,زيت الزيتون فيه منافع لكل داء,magreb
النساء هن بعد الصحافه افضل وسيله لنقل الاخبار,1,حديث النساء بينقل الأخبار بسرعة,magreb
المصري اليوم : اختفاء درع الدوري من دولاب نادي الزمالك الدرع مستحملش أسبوع,1,نادى الزمالك لا يستحق الدورى ,nile
كي نبعثلك ميساج من الجزائر الجديدة من وين ترد عليا ههه,1,الجزائر الجديدة هي نفسها الجزائر القديمة,magreb
انت عملي فيها زي جماهير نادي البليله ليه,1,عملي فيها مشجع زملكاوي,nile
عايزين تعرفوا الشروط هوا شرط واحد يستخدم فى كل وظيفة صنية كوسة,1,الواسطة هي اهم شيء للعمل,nile
ممكن تريحوا دماغكم وتعينوا خطباء نصارى او كفار,1,وزارة الأوقاف لا تقوم بوظيفتها,nile
كل فولة مسوسة لها كيال اعور,1,مهما كان الشىء سىء يوجد من يقدره,nile
ترامب يريد علاج المرضى بشرب الكلور,1,جهل ترامب بأبسط المعلومات الطبية,nile
عشنا وشفنا وما بقى شي يدهشنا,1,مابقاش فيه حاجة نستغربها بعد تجاربنا فى الحياة,levant
دا عامل فيها ابو العربى,1,دا شخص مبالغ جدا,nile
كل شيخ وليه طريقه وكل معجن وليه كيال,1,كل شخص له طريقته الخاصة فى التصرف فى الأمور,nile
هي الكحكه في إيد اليتيم عجبة,1,نال شيئا كبيرا ولم يتوقع احد أن هذا الشخص أن يناله,nile
